run,subject,correct,total,accuracy,generation_seconds,sample_seconds
baseline_2048,Accounting,17,30,0.5666666666666667,2252.6837329007685,2253.6591964438558
baseline_2048,Agriculture,17,30,0.5666666666666667,293.09384199231863,325.43672609329224
baseline_2048,Architecture_and_Engineering,5,30,0.16666666666666666,3658.4667888991535,3659.2587753646076
baseline_2048,Art,19,30,0.6333333333333333,457.6093495041132,466.4861396588385
baseline_2048,Art_Theory,24,30,0.8,654.1433274187148,664.1832449920475
baseline_2048,Basic_Medical_Science,20,30,0.6666666666666666,882.9094159267843,884.4906513988972
baseline_2048,Biology,19,30,0.6333333333333333,1079.6211607828736,1082.8976050242782
baseline_2048,Chemistry,8,30,0.26666666666666666,2444.677634961903,2445.8692538812757
baseline_2048,Clinical_Medicine,18,30,0.6,895.4641033262014,898.5205315425992
baseline_2048,Computer_Science,15,30,0.5,2062.3608333282173,2063.947730652988
baseline_2048,Design,22,30,0.7333333333333333,387.10895774513483,392.11675944924355
baseline_2048,Diagnostics_and_Laboratory_Medicine,9,30,0.3,906.6188617311418,916.4968198612332
baseline_2048,Economics,23,30,0.7666666666666667,1164.3402796126902,1165.45844271034
baseline_2048,Electronics,7,30,0.23333333333333334,3157.5573840029538,3158.3483473807573
baseline_2048,Energy_and_Power,6,30,0.2,3369.1873664222658,3370.302018713206
baseline_2048,Finance,16,30,0.5333333333333333,2040.457946576178,2041.3141807578504
baseline_2048,Geography,17,30,0.5666666666666667,1480.108650635928,1482.177083093673
baseline_2048,History,21,30,0.7,964.209591742605,967.4383443444967
baseline_2048,Literature,24,30,0.8,360.93751637265086,365.2540780566633
baseline_2048,Manage,17,30,0.5666666666666667,1356.3321257941425,1357.8469161577523
baseline_2048,Marketing,24,30,0.8,1351.961335029453,1353.613681845367
baseline_2048,Materials,3,30,0.1,3550.6087319739163,3551.964128572494
baseline_2048,Math,13,30,0.43333333333333335,2378.4152777045965,2379.6106601916254
baseline_2048,Mechanical_Engineering,6,30,0.2,3257.788483221084,3258.8127379007638
baseline_2048,Music,5,30,0.16666666666666666,2722.4107087664306,2725.7527792565525
baseline_2048,Pharmacy,18,30,0.6,1678.954983472824,1680.1560153253376
baseline_2048,Physics,21,30,0.7,1831.4828555993736,1832.4072682335973
baseline_2048,Psychology,21,30,0.7,853.9693642780185,856.6656618863344
baseline_2048,Public_Health,23,30,0.7666666666666667,1530.1487158946693,1531.2367415428162
baseline_2048,Sociology,20,30,0.6666666666666666,601.1247084587812,607.3169691972435
continuous_32k,Accounting,23,30,0.7666666666666667,2323.163602068089,4685.540999750607
continuous_32k,Agriculture,16,30,0.5333333333333333,71.37416908890009,173.98363148234785
continuous_32k,Architecture_and_Engineering,15,30,0.5,7467.575009156484,14945.184773841873
continuous_32k,Art,19,30,0.6333333333333333,93.27594535099342,205.40279592107981
continuous_32k,Art_Theory,24,30,0.8,119.35454208031297,260.2534651802853
continuous_32k,Basic_Medical_Science,20,30,0.6666666666666666,142.98826873861253,292.08742629829794
continuous_32k,Biology,14,30,0.4666666666666667,842.7851966354065,1695.9868128104135
continuous_32k,Chemistry,10,30,0.3333333333333333,3526.347809388768,7061.658987744711
continuous_32k,Clinical_Medicine,19,30,0.6333333333333333,716.3483193973079,1438.938289694488
continuous_32k,Computer_Science,20,30,0.6666666666666666,1370.3177667362615,2747.778307600878
continuous_32k,Design,22,30,0.7333333333333333,109.67683507315814,231.98878247477114
continuous_32k,Diagnostics_and_Laboratory_Medicine,11,30,0.36666666666666664,208.44855658197775,438.9339709794149
continuous_32k,Economics,23,30,0.7666666666666667,354.60115818027407,714.6938469680026
continuous_32k,Electronics,12,30,0.4,4446.628431954421,8899.794343034737
continuous_32k,Energy_and_Power,13,30,0.43333333333333335,8013.821341942996,16035.644210557453
continuous_32k,Finance,21,30,0.7,1770.2436230322346,3545.8453975673765
continuous_32k,Geography,16,30,0.5333333333333333,1565.393790056929,3145.8266243655235
continuous_32k,History,23,30,0.7666666666666667,248.55890881828964,501.7430791929364
continuous_32k,Literature,24,30,0.8,86.77954515023157,182.5671272603795
continuous_32k,Manage,19,30,0.6333333333333333,1017.0064480062574,2041.0720749692991
continuous_32k,Marketing,26,30,0.8666666666666667,557.8597868704237,1122.1243960848078
continuous_32k,Materials,13,30,0.43333333333333335,5346.132860176265,10700.93923821766
continuous_32k,Math,20,30,0.6666666666666666,1701.196620893199,3408.6467461688444
continuous_32k,Mechanical_Engineering,13,30,0.43333333333333335,5999.902783537749,12009.401385568082
continuous_32k,Music,7,30,0.23333333333333334,6478.179642544128,12968.35325692501
continuous_32k,Pharmacy,21,30,0.7,587.7148326984607,1181.6206553000957
continuous_32k,Physics,23,30,0.7666666666666667,1136.2157843811437,2283.543303717859
continuous_32k,Psychology,23,30,0.7666666666666667,223.80372050357983,451.87596601620317
continuous_32k,Public_Health,26,30,0.8666666666666667,1037.6981543959118,2074.4389522280544
continuous_32k,Sociology,18,30,0.6,140.19880544953048,287.87642559967935
official_b2,Accounting,20,30,0.6666666666666666,4594.444723658264,9251.062959528528
official_b2,Agriculture,15,30,0.5,109.8344552333001,267.39863954717293
official_b2,Architecture_and_Engineering,13,30,0.43333333333333335,11659.351292921463,23332.567382973153
official_b2,Art,18,30,0.6,2285.2728104214184,4601.163958471734
official_b2,Art_Theory,24,30,0.8,881.2923258577939,1796.1321516903117
official_b2,Basic_Medical_Science,23,30,0.7666666666666667,156.24310904182494,318.5016765673645
official_b2,Biology,14,30,0.4666666666666667,1207.9573607714847,2432.18098337017
official_b2,Chemistry,15,30,0.5,4312.308020790806,8639.45642476622
official_b2,Clinical_Medicine,23,30,0.7666666666666667,932.7295369312633,1881.5902149500325
official_b2,Computer_Science,16,30,0.5333333333333333,1693.9012485241983,3401.673158109188
official_b2,Design,22,30,0.7333333333333333,103.79294391255826,225.89032074809074
official_b2,Diagnostics_and_Laboratory_Medicine,11,30,0.36666666666666664,223.22583250817843,482.17902353033423
official_b2,Economics,25,30,0.8333333333333334,308.575215238845,629.1246441444382
official_b2,Electronics,12,30,0.4,7040.959912402555,14094.86779556144
official_b2,Energy_and_Power,14,30,0.4666666666666667,11512.460151754785,23040.627124676015
official_b2,Finance,21,30,0.7,1845.5869471908081,3706.814565679524
official_b2,Geography,17,30,0.5666666666666667,934.7073411918245,1879.4807573808357
official_b2,History,22,30,0.7333333333333333,269.36568117979914,553.6753853671253
official_b2,Literature,24,30,0.8,94.30063242209144,206.31269897241145
official_b2,Manage,19,30,0.6333333333333333,617.5090025065001,1247.3767139641568
official_b2,Marketing,26,30,0.8666666666666667,448.3515841742046,908.1975605860353
official_b2,Materials,12,30,0.4,6445.0428002239205,12907.012048114557
official_b2,Math,19,30,0.6333333333333333,2873.343617249513,5759.601329360623
official_b2,Mechanical_Engineering,13,30,0.43333333333333335,9901.523702928796,19817.55094642751
official_b2,Music,6,30,0.2,11763.53575075185,23550.769553951453
official_b2,Pharmacy,19,30,0.6333333333333333,3161.9927882209886,6337.000751994085
official_b2,Physics,24,30,0.8,1541.8979844062123,3096.9846070841886
official_b2,Psychology,25,30,0.8333333333333334,284.30574725498445,585.6076662810519
official_b2,Public_Health,26,30,0.8666666666666667,1917.9522088861559,3853.2754359748214
official_b2,Sociology,20,30,0.6666666666666666,142.66940041724592,290.62928161071613
